,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2010-10-19 to 2010-11-01,-1.7156924863311642,,,,,,,,,,,,,
2010-10-20 to 2010-11-02,-0.3768004383967194,,,,,,,,,,,,,
2010-10-21 to 2010-11-03,1.059692884266397,,,,,,,,,,,,,
2010-10-22 to 2010-11-04,3.51252960755183,,,,,,,,,,,,,
2010-10-23 to 2010-11-05,2.6842581058287225,,,,,,,,,,,,,
2010-10-24 to 2010-11-06,2.6842581058287225,,,,,,,,,,,,,
2010-10-25 to 2010-11-07,2.6842581058287225,,,,,,,,,,,,,
2010-10-26 to 2010-11-08,3.431257356317255,,,,,,,,,,,,,
2010-10-27 to 2010-11-09,2.68007882909849,,,,,,,,,,,,,
2010-10-28 to 2010-11-10,4.190113551257822,,,,,,,,,,,,,
2010-10-29 to 2010-11-11,5.206365580125873,,,,,,,,,,,,,
2010-10-30 to 2010-11-12,1.2656688855268434,,,,,,,,,,,,,
2010-10-31 to 2010-11-13,1.2656688855268434,,,,,,,,,,,,,
2010-11-01 to 2010-11-14,1.2656688855268434,,,,,,,,,,,,,
2010-11-02 to 2010-11-15,-0.7499240880948749,,,,,,,,,,,,,
2010-11-03 to 2010-11-16,-3.5837583419362264,,,,,,,,,,,,,
2010-11-04 to 2010-11-17,-5.583313414384896,,,,,,,,,,,,,
2010-11-05 to 2010-11-18,-2.7433498747523406,,,,,,,,,,,,,
2010-11-06 to 2010-11-19,-3.7317022314283195,,,,,,,,,,,,,
2010-11-07 to 2010-11-20,-3.7317022314283195,,,,,,,,,,,,,
2010-11-08 to 2010-11-21,-3.7317022314283195,,,,,,,,,,,,,
2010-11-09 to 2010-11-22,-0.8605706002955573,,,,,,,,,,,,,
2010-11-10 to 2010-11-23,-2.9242588741898503,,,,,,,,,,,,,
2010-11-11 to 2010-11-24,-0.5843005270881403,,,,,,,,,,,,,
2010-11-12 to 2010-11-25,2.197819392058434,,,,,,,,,,,,,
2010-11-13 to 2010-11-26,2.5924938342231676,,,,,,,,,,,,,
2010-11-14 to 2010-11-27,2.5924938342231676,,,,,,,,,,,,,
2010-11-15 to 2010-11-28,2.5924938342231676,,,,,,,,,,,,,
2010-11-16 to 2010-11-29,5.066472639944751,,,,,,,,,,,,,
2010-11-17 to 2010-11-30,3.5441033748882784,,,,,,,,,,,,,
2010-11-18 to 2010-12-01,2.584057683559536,,,,,,,,,,,,,
2010-11-19 to 2010-12-02,3.723158868115666,,,,,,,,,,,,,
2010-11-20 to 2010-12-03,1.3020057652241879,,,,,,,,,,,,,
2010-11-21 to 2010-12-04,1.3020057652241879,,,,,,,,,,,,,
2010-11-22 to 2010-12-05,1.3020057652241879,,,,,,,,,,,,,
2010-11-23 to 2010-12-06,3.6990611284314885,,,,,,,,,,,,,
2010-11-24 to 2010-12-07,1.0832574073490349,,,,,,,,,,,,,
2010-11-25 to 2010-12-08,1.90792944863193,,,,,,,,,,,,,
2010-11-26 to 2010-12-09,1.5110850034941272,,,,,,,,,,,,,
2010-11-27 to 2010-12-10,1.1644994532259667,,,,,,,,,,,,,
2010-11-28 to 2010-12-11,1.1644994532259667,,,,,,,,,,,,,
2010-11-29 to 2010-12-12,1.1644994532259667,,,,,,,,,,,,,
2010-11-30 to 2010-12-13,3.380983418547876,,,,,,,,,,,,,
2010-12-01 to 2010-12-14,1.229440503317327,,,,,,,,,,,,,
2010-12-02 to 2010-12-15,0.6945992905090838,,,,,,,,,,,,,
2010-12-03 to 2010-12-16,1.2002469362940285,,,,,,,,,,,,,
2010-12-04 to 2010-12-17,0.1436861201648115,,,,,,,,,,,,,
2010-12-05 to 2010-12-18,0.1436861201648115,,,,,,,,,,,,,
2010-12-06 to 2010-12-19,0.1436861201648115,,,,,,,,,,,,,
2010-12-07 to 2010-12-20,1.2570363047686401,,,,,,,,,,,,,
2010-12-08 to 2010-12-21,0.9937763126983359,,,,,,,,,,,,,
2010-12-09 to 2010-12-22,1.6887932986948044,,,,,,,,,,,,,
2010-12-10 to 2010-12-23,0.9483755967514982,,,,,,,,,,,,,
2010-12-11 to 2010-12-24,0.6000072859916235,,,,,,,,,,,,,
2010-12-12 to 2010-12-25,0.6000072859916235,,,,,,,,,,,,,
2010-12-13 to 2010-12-26,0.6000072859916235,,,,,,,,,,,,,
2010-12-14 to 2010-12-27,1.3706425539167826,,,,,,,,,,,,,
2010-12-15 to 2010-12-28,1.5950971642673377,,,,,,,,,,,,,
2010-12-16 to 2010-12-29,1.2575942266570166,,,,,,,,,,,,,
2010-12-17 to 2010-12-30,0.9512928622183654,,,,,,,,,,,,,
2010-12-18 to 2010-12-31,0.10862766238471692,,,,,,,,,,,,,
2010-12-19 to 2011-01-01,0.10862766238471692,,,,,,,,,,,,,
2010-12-20 to 2011-01-02,0.10862766238471692,,,,,,,,,,,,,
2010-12-21 to 2011-01-03,-0.5058740584152732,,,,,,,,,,,,,
2010-12-22 to 2011-01-04,-0.7995900859548443,,,,,,,,,,,,,
2010-12-23 to 2011-01-05,-0.3213972642878246,,,,,,,,,,,,,
2010-12-24 to 2011-01-06,-0.6529491619617407,,,,,,,,,,,,,
2010-12-25 to 2011-01-07,-0.6529491619617407,,,,,,,,,,,,,
2010-12-26 to 2011-01-08,-0.6529491619617407,,,,,,,,,,,,,
2010-12-27 to 2011-01-09,-0.6529491619617407,,,,,,,,,,,,,
2010-12-28 to 2011-01-10,-0.8940858145068828,,,,,,,,,,,,,
2010-12-29 to 2011-01-11,-0.8392556748099245,,,,,,,,,,,,,
